tWojewodztwo;Powiat;Gmina;Miejscowosc;Dzielnica;ludnosc
DOLNOŚLĄSKIE;Jelenia Góra;Jelenia Góra;Jelenia Góra;;74194.0
DOLNOŚLĄSKIE;Legnica;Legnica;Legnica;;90823.0
DOLNOŚLĄSKIE;Wałbrzych;Wałbrzych;Wałbrzych;;98748.0
DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;Bolesławiec;;36795.0
DOLNOŚLĄSKIE;bolesławiecki;Gromadka;Gromadka;;
DOLNOŚLĄSKIE;bolesławiecki;Nowogrodziec;Nowogrodziec;;4050.0
DOLNOŚLĄSKIE;bolesławiecki;Osiecznica;Osiecznica;;
DOLNOŚLĄSKIE;bolesławiecki;Warta Bolesławiecka;Warta Bolesławiecka;;
DOLNOŚLĄSKIE;dzierżoniowski;Bielawa;Bielawa;;27713.0
DOLNOŚLĄSKIE;dzierżoniowski;Dzierżoniów;Dzierżoniów;;30312.0
DOLNOŚLĄSKIE;dzierżoniowski;Niemcza;Niemcza;;2650.0
DOLNOŚLĄSKIE;dzierżoniowski;Pieszyce;Pieszyce;;6750.0
DOLNOŚLĄSKIE;dzierżoniowski;Piława Górna;Piława Górna;;5847.0
DOLNOŚLĄSKIE;dzierżoniowski;Łagiewniki;Łagiewniki;;
DOLNOŚLĄSKIE;górowski;Góra;Góra;;10623.0
DOLNOŚLĄSKIE;górowski;Jemielno;Jemielno;;
DOLNOŚLĄSKIE;górowski;Niechlów;Niechlów;;
DOLNOŚLĄSKIE;górowski;Wąsosz;Wąsosz;;2510.0
DOLNOŚLĄSKIE;głogowski;Głogów;Głogów;;61206.0
DOLNOŚLĄSKIE;głogowski;Jerzmanowa;Jerzmanowa;;
DOLNOŚLĄSKIE;głogowski;Kotla;Kotla;;
DOLNOŚLĄSKIE;głogowski;Pęcław;Pęcław;;
DOLNOŚLĄSKIE;głogowski;Żukowice;Żukowice;;
DOLNOŚLĄSKIE;jaworski;Bolków;Bolków;;4601.0
DOLNOŚLĄSKIE;jaworski;Jawor;Jawor;;20298.0
DOLNOŚLĄSKIE;jaworski;Męcinka;Męcinka;;
DOLNOŚLĄSKIE;jaworski;Mściwojów;Mściwojów;;
DOLNOŚLĄSKIE;jaworski;Paszowice;Paszowice;;
DOLNOŚLĄSKIE;jaworski;Wądroże Wielkie;Wądroże Wielkie;;
DOLNOŚLĄSKIE;kamiennogórski;Kamienna Góra;Kamienna Góra;;16838.0
DOLNOŚLĄSKIE;kamiennogórski;Lubawka;Lubawka;;5469.0
DOLNOŚLĄSKIE;kamiennogórski;Marciszów;Marciszów;;
DOLNOŚLĄSKIE;karkonoski;Janowice Wielkie;Janowice Wielkie;;
DOLNOŚLĄSKIE;karkonoski;Jeżów Sudecki;Jeżów Sudecki;;
DOLNOŚLĄSKIE;karkonoski;Karpacz;Karpacz;;4140.0
DOLNOŚLĄSKIE;karkonoski;Kowary;Kowary;;9520.0
DOLNOŚLĄSKIE;karkonoski;Mysłakowice;Mysłakowice;;
DOLNOŚLĄSKIE;karkonoski;Piechowice;Piechowice;;5668.0
DOLNOŚLĄSKIE;karkonoski;Podgórzyn;Podgórzyn;;
DOLNOŚLĄSKIE;karkonoski;Stara Kamienica;Stara Kamienica;;
DOLNOŚLĄSKIE;karkonoski;Szklarska Poręba;Szklarska Poręba;;5588.0
DOLNOŚLĄSKIE;kłodzki;Bystrzyca Kłodzka;Bystrzyca Kłodzka;;8802.0
DOLNOŚLĄSKIE;kłodzki;Duszniki-Zdrój;Duszniki-Zdrój;;3907.0
DOLNOŚLĄSKIE;kłodzki;Kudowa-Zdrój;Kudowa-Zdrój;;9145.0
DOLNOŚLĄSKIE;kłodzki;Kłodzko;Kłodzko;;24503.0
DOLNOŚLĄSKIE;kłodzki;Lewin Kłodzki;Lewin Kłodzki;;
DOLNOŚLĄSKIE;kłodzki;Lądek-Zdrój;Lądek-Zdrój;;4862.0
DOLNOŚLĄSKIE;kłodzki;Międzylesie;Międzylesie;;2353.0
DOLNOŚLĄSKIE;kłodzki;Nowa Ruda;Nowa Ruda;;20100.0
DOLNOŚLĄSKIE;kłodzki;Polanica-Zdrój;Polanica-Zdrój;;5800.0
DOLNOŚLĄSKIE;kłodzki;Radków;Radków;;2209.0
DOLNOŚLĄSKIE;kłodzki;Stronie Śląskie;Stronie Śląskie;;4910.0
DOLNOŚLĄSKIE;kłodzki;Szczytna;Szczytna;;4742.0
DOLNOŚLĄSKIE;legnicki;Chojnów;Chojnów;;12243.0
DOLNOŚLĄSKIE;legnicki;Krotoszyce;Krotoszyce;;
DOLNOŚLĄSKIE;legnicki;Kunice;Kunice;;
DOLNOŚLĄSKIE;legnicki;Legnickie Pole;Legnickie Pole;;
DOLNOŚLĄSKIE;legnicki;Miłkowice;Miłkowice;;
DOLNOŚLĄSKIE;legnicki;Prochowice;Prochowice;;3470.0
DOLNOŚLĄSKIE;legnicki;Ruja;Ruja;;
DOLNOŚLĄSKIE;lubański;Leśna;Leśna;;3942.0
DOLNOŚLĄSKIE;lubański;Lubań;Lubań;;19257.0
DOLNOŚLĄSKIE;lubański;Olszyna;Olszyna;;4282.0
DOLNOŚLĄSKIE;lubański;Platerówka;Platerówka;;
DOLNOŚLĄSKIE;lubański;Siekierczyn;Siekierczyn;;
DOLNOŚLĄSKIE;lubański;Świeradów-Zdrój;Świeradów-Zdrój;;3906.0
DOLNOŚLĄSKIE;lubiński;Lubin;Lubin;;66864.0
